official_name,FECID,nothing_2024,firstname,lastname,bioname,state,state_abb,district,incumbent,level,electoral_district,office_name,candidate_UUID,party_ID,DOB,race,gender,person_UUID,ICPSR,state_ICPSR,bioguide_ID,nominate_dim1,office_facebook_page,office_instagram_account,office_twitter_account,office_youtube_account,office_tiktok_account,campaign_facebook_page,campaign_instagram_account,campaign_twitter_account,campaign_youtube_account,campaign_tiktok_account,office_truthsocial_account,campaign_truthsocial_account,office_telegram_account,campaign_telegram_account,office_gettr_account,campaign_gettr_account,office_rumble_account,campaign_rumble_account,cook_2024,competitive,seatup_2024,cookreport24_raw,party_standardized
Bruce Lou,H4CA11164,0.0,Bruce,Lou,,California,CA,11.0,Non-Incumbent,country,California's 11th congressional district,U.S. Representative,688c958a-daa6-5e79-a314-ef813e84b7b0,Republican Party,,,,5e52fed4-b294-42de-87e8-77a5d4a2c375,,,,,,,,,,https://www.facebook.com/people/Bruce-Lou/pfbid0AzRyaMe8yyAbzvsCbEcMNP9GQSYdZEhuQU5CZj7qfjgRiKsdnwkKRX7X6cA18Mrql/,https://www.instagram.com/brucelouforcongress,https://twitter.com/RealBruceLou,https://www.youtube.com/@BruceLouForCongress,https://www.tiktok.com/@brucelouforcongress,,,,,,,,,Not Competitive,0.0,,,Republican Party
Bruce Westerman,H4AR04048,0.0,Bruce,Westerman,"WESTERMAN, Bruce Eugene",Arkansas,AR,4.0,Incumbent,country,Arkansas's 4th congressional district,U.S. Representative,a6be7fce-6aec-5a5c-acc8-aa51f0f050e2,Republican Party,11/18/67,White,Male,64e022b7-bcac-4ee2-95fc-c85971bb5b1e,21563.0,42.0,W000821,0.545,https://www.facebook.com/RepWesterman,https://www.instagram.com/repwesterman,https://twitter.com/RepWesterman,https://www.youtube.com/channel/UCNshPbmupCwP5a7Hi79jETQ,,https://www.facebook.com/WestermanAR,https://instagram.com/westermanar,https://twitter.com/westermanar,,,,,,https://t.me/repwesterman,,,,,Not Competitive,0.0,,,Republican Party
Bruno Grandsard,H4NY10122,0.0,Bruno,Grandsard,,New York,NY,10.0,Non-Incumbent,country,New York's 10th congressional district,U.S. Representative,40f5b337-480b-5134-9ab7-a7c7a11f49f3,Democratic Party,,,,5602622b-1027-41bb-82f2-b0eeaa6eae60,,,,,,,,,,https://www.facebook.com/Bruno4Congress,,,,,,,,,,,,,Not Competitive,0.0,,,Democratic Party
Bryan E. Leib,H4FL25055,0.0,Bryan,Leib,,Florida,FL,25.0,Non-Incumbent,country,Florida's 25th congressional district,U.S. Representative,8ce610cb-0446-5d84-8d1e-1d4689355549,Republican Party,,,,7c3f6971-86d6-4c73-a569-41620bec63cd,,,,,,,,,,https://www.facebook.com/BryanForBroward,https://www.instagram.com/team_bryan25/,https://x.com/BryanLeibFL,https://www.youtube.com/@bryanleib7016/videos,,,,,,,,,,Not Competitive,0.0,,,Republican Party
Bryan K. Newell,H4AL03095,0.0,Bryan,Newell,,Alabama,AL,3.0,Non-Incumbent,country,Alabama's 3rd congressional district,U.S. Representative,8f7eff93-edd5-54ba-91a7-f91f35087423,Republican Party,,,,d5c8ec35-66b2-4321-b5fe-0a04f3fa4c0c,,,,,,,,,,https://www.facebook.com/profile.php?id=61552720201468,https://www.instagram.com/thepatriotforcongressshow/,https://twitter.com/Bryan4congress,,,,,,,,,,,Not Competitive,0.0,,,Republican Party
Bryan Steil,H8WI01156,0.0,Bryan,Steil,"STEIL, Bryan",Wisconsin,WI,1.0,Incumbent,country,Wisconsin's 1st congressional district,U.S. Representative,e02947ef-3d1c-5c43-ab03-0f46520639c4,Republican Party,3/3/81,White,Male,458ca109-6244-4506-9f7a-0855f8dce9f9,21970.0,25.0,S001213,0.417,https://www.facebook.com/RepBryanSteil/,https://www.instagram.com/repbryansteil/,https://twitter.com/RepBryanSteil,https://www.youtube.com/repbryansteil,,https://www.facebook.com/bryansteil,https://www.instagram.com/bryansteilwi/,https://twitter.com/BryanSteil,https://www.youtube.com/channel/UCIl0TtzUN1mkqWXXBKAgpJg/featured,,,https://truthsocial.com/@RepBryanSteil,,,,,,,Likely Republican,1.0,,,Republican Party
Bryon L. Best,H4SC03244,0.0,Bryon,Best,,South Carolina,SC,3.0,Non-Incumbent,country,South Carolina's 3rd congressional district,U.S. Representative,8f39b91d-8018-5ff7-9f64-c52e004b134e,Democratic Party,,,,00b55b22-88a0-4757-bf95-7c7b5413976c,,,,,,,,,,https://www.facebook.com/bryan.l.best/,https://www.instagram.com/bestforcongressd3,,https://www.youtube.com/@Best4CongressD3,https://www.tiktok.com/@best4congressd3,,,,,,,,,Not Competitive,0.0,,,Democratic Party
Buddy Carter,H4GA01039,0.0,Buddy,Carter,"CARTER, Buddy",Georgia,GA,1.0,Incumbent,country,Georgia's 1st congressional district,U.S. Representative,7f73495c-f0d2-5060-8b74-847009e44f0a,Republican Party,9/6/57,White,Male,85a3f1ac-cfdb-4ee9-bbd6-60d72baaadbc,21513.0,44.0,C001103,0.557,https://www.facebook.com/CongressmanBuddyCarter/,https://www.instagram.com/repbuddycarter/,https://twitter.com/repBuddyCarter,https://www.youtube.com/channel/UCHQm49T6ikD_ioMAt50AwKQ,,https://www.facebook.com/BuddyCarterforCongress,,https://twitter.com/Buddy_Carter,,,,,,,,https://gettr.com/user/buddycarter,,,Not Competitive,0.0,,,Republican Party
Burgess Owens,H0UT04076,0.0,Burgess,Owens,"OWENS, Burgess",Utah,UT,4.0,Incumbent,country,Utah's 4th congressional district,U.S. Representative,ff91aa30-40a8-5744-b052-2519176fea56,Republican Party,8/2/51,Black or African-American,Male,eb6dfb36-2343-4385-80a4-39dea7a40068,22146.0,67.0,O000086,0.452,https://www.facebook.com/CongressmanBurgessOwens/,https://www.instagram.com/repburgessowens/,https://twitter.com/RepBurgessOwens,https://www.youtube.com/channel/UCxeB7xjbLDJM9Yw6brXsX6Q,,https://facebook.com/officiallyburgessowens,https://instagram.com/burgessowens,https://twitter.com/burgessowens,https://www.youtube.com/channel/UC3EfO5lZnsWwwSJEKCAmwqQ,,,https://truthsocial.com/@BurgessOwens,,https://t.me/Burgess4Utah,,,,,Not Competitive,0.0,,,Republican Party
Burt Thakur,H4TX03114,0.0,Burt,Thakur,,Texas,TX,26.0,Non-Incumbent,country,Texas's 26th congressional district,U.S. Representative,133ba9bb-33d8-5e25-a17c-0fb08d928e1e,Republican Party,,,,494898dc-581c-4972-a10b-9a88608c5cd1,,,,,,,,,,https://www.facebook.com/burtforcongress,https://www.instagram.com/burtthakurtx/,https://twitter.com/BurtThakurTX,https://www.youtube.com/@BurtThakurTX,,,,,,,https://gettr.com/user/burtforcongress,,,Not Competitive,0.0,,,Republican Party
Byron Donalds,H2FL14186,0.0,Byron,Donalds,"DONALDS, Byron",Florida,FL,19.0,Incumbent,country,Florida's 19th congressional district,U.S. Representative,d64bc5e6-35c1-57a9-95cc-60dccc921709,Republican Party,10/28/78,Black or African-American,Male,2cbef04b-6b6b-44b0-b6d9-4b10753eb073,22111.0,43.0,D000032,0.645,https://www.facebook.com/RepDonaldsPress/,https://instagram.com/repdonaldspress,https://twitter.com/RepDonaldsPress,https://www.youtube.com/channel/UCjy0W7sksMz37IYY27tAZNQ/,,https://www.facebook.com/byrondonalds/,https://www.instagram.com/byrondonalds/,https://twitter.com/byrondonalds?lang=en,https://www.youtube.com/c/ByronDonaldsforCongress,,https://truthsocial.com/@byrondonalds,,,https://t.me/byrondonalds,,https://gettr.com/user/byrondonalds,,,Not Competitive,0.0,,,Republican Party
C. A. Dutch Ruppersberger,H2MD02160,0.0,Dutch,Ruppersberger,"RUPPERSBERGER, C. A. (Dutch)",Maryland,MD,2.0,Incumbent; Retired,country,Maryland's 2nd congressional district,U.S. Representative,97e86710-6008-58fa-8535-13f68ffc3561,Democratic Party,1/31/46,White,Male,7dea9eea-65aa-4be0-974b-ffb5d8af3296,20329.0,52.0,R000576,-0.299,,https://www.instagram.com/dutchruppersberger/,https://twitter.com/Call_Me_Dutch,"https://www.youtube.com/@dutchruppersberger719, https://www.youtube.com/channel/UCk2S9iSHNpo1E1A7qZ0SPIw",,https://www.facebook.com/DutchForCongress/,,https://twitter.com/GoDutchForMD,,,,,,,,,,,Not Competitive,0.0,,,Democratic Party
C. Vance Cast,H4AZ06144,0.0,C.,Cast,,Arizona,AZ,6.0,Non-Incumbent,country,Arizona's 6th congressional district,U.S. Representative,a3f8b6d8-e1f8-59cc-b7a5-b79d622d90c2,Libertarian Party,,,,80e33038-6fba-4883-ab4d-98ee3490cb5f,,,,,,,,,,https://www.facebook.com/castforcongress,https://x.com/cvancecast?lang=en,https://x.com/cvancecast?lang=en,https://www.youtube.com/channel/UC9wc8ZBntw9AfekBOHRx7kA,https://www.tiktok.com/@castforcongress?lang=en,,,,,,,,,Republican Toss Up,1.0,,,Third Party
Caitlin Draper,H4AR03065,0.0,Caitlin,Draper,,Arkansas,AR,3.0,Non-Incumbent,country,Arkansas's 3rd congressional district,U.S. Representative,845a71d8-67d5-5bd7-87df-bd11941bc6cb,Democratic Party,,,,dcd0c9fa-0d6e-4593-a344-d80264ccd72c,,,,,,,,,,https://www.facebook.com/caitlinforcongress/,https://www.instagram.com/CaitlinforArkansas/,https://twitter.com/caitlinforark,,https://www.tiktok.com/@caitlinforarkansas,,,,,,,,,Not Competitive,0.0,,,Democratic Party
Caleb Rudow,H4NC11102,0.0,Caleb,Rudow,,North Carolina,NC,11.0,Non-Incumbent,country,North Carolina's 11th congressional district,U.S. Representative,80c66c2e-71d6-5913-8373-b280b7cbed89,Democratic Party,,,,7ce4f4d7-6d1f-4d00-90c7-d36966ca43a5,,,,,,,,,,https://www.facebook.com/people/Caleb-Rudow-for-NC-House/100076842337422/,https://www.instagram.com/rudowforcongress/,https://twitter.com/CalebRudow,,https://www.tiktok.com/@rudowforcongress,,,,,,,,,Not Competitive,0.0,,,Democratic Party
Callie Barr,H4MI01155,0.0,Callie,Barr,,Michigan,MI,1.0,Non-Incumbent,country,Michigan's 1st congressional district,U.S. Representative,66a63a81-5c30-5a7b-9e20-94e9c7b82ca0,Democratic Party,,,,3bb8dff4-5126-4b6c-b479-705bea80ce01,,,,,,,,,,https://www.facebook.com/Callie4Congress/,https://www.instagram.com/callie4congress/,https://x.com/callie4congress,https://www.youtube.com/channel/UCdT__HGYPs30Ze1WAMKTeEg,,,,,,,,,,Not Competitive,0.0,,,Democratic Party
Callie Butcher,H4TX32113,0.0,Callie,Butcher,,Texas,TX,32.0,Non-Incumbent,country,Texas's 32nd congressional district,U.S. Representative,11f7eee3-bfa4-552c-a62e-01ae9cff46e0,Democratic Party,,,,231f35de-c483-49ba-b843-84dce1d3e21b,,,,,,,,,,https://www.facebook.com/CallieforTexas/,https://www.instagram.com/calliefortexas/,https://twitter.com/CallieForTexas,,,,,,,,,,,Not Competitive,0.0,,,Democratic Party
"Cameron ""Coach Cam"" Campbell",H4TX38029,0.0,Cameron,Campbell,,Texas,TX,38.0,Non-Incumbent,country,Texas's 38th congressional district,U.S. Representative,0ab9bd6a-77ff-568c-ad5f-59e7e2f86242,Democratic Party,,,,9b6e37db-fc6e-4f3d-971c-1c9f0a87cfae,,,,,,,,,,https://www.facebook.com/votecoachcam/,https://www.instagram.com/votecoachcam,https://twitter.com/VoteCoachCam,,,,,,,,,,,Not Competitive,0.0,,,Democratic Party
Cameron D. Hamilton,H4VA07200,0.0,Cameron,Hamilton,,Virginia,VA,7.0,Non-Incumbent,country,Virginia's 7th congressional district,U.S. Representative,2cdbc357-6000-53b5-9ccd-5c262ba0936a,Republican Party,,,,b086086d-f5d9-49ca-b6a2-7b30d7e8ad58,,,,,,,,,,https://www.facebook.com/cameronhamiltonva,https://www.instagram.com/cameronhamiltonva/,https://x.com/CameronVA,https://www.youtube.com/@CameronHamiltonVA/videos,,,,,,,,,,Lean Democrat,1.0,,,Republican Party
Cara Mund,H2ND01022,0.0,Cara,Mund,,North Dakota,ND,1.0,Non-Incumbent,country,North Dakota,U.S. Representative,e5ba0e39-683c-5e78-883f-9ca4af64b1e8,Republican Party,,,,f002a064-90bb-4330-99eb-81cc1ca9003c,,,,,,,,,,https://www.facebook.com/CaraMund/,https://www.instagram.com/realcaramund/,https://twitter.com/CaraMund,,https://www.tiktok.com/@caramund,,,,,,,,,Not Competitive,0.0,,,Republican Party
Carl B. Bedell,H4VA07325,0.0,Carl,Bedell,,Virginia,VA,7.0,Non-Incumbent,country,Virginia's 7th congressional district,U.S. Representative,47a7075d-a17e-5665-a1b8-82f7da56b44a,Democratic Party,,,,61ffaec3-28f1-46cc-96ae-bcf2e22b053d,,,,,,,,,,https://www.facebook.com/bedellforcongress,https://www.instagram.com/bedellforcongress/,https://x.com/Bedell4Congress,,https://www.tiktok.com/@bedellforcongress,,,,,,,,,Lean Democrat,1.0,,,Democratic Party
Carl Boyanton,H0MS04161,0.0,Carl,Boyanton,,Mississippi,MS,4.0,Non-Incumbent,country,Mississippi's 4th congressional district,U.S. Representative,8b5938c2-c34f-50f6-b334-dbaf6724497a,Republican Party,,,,8f2f0936-3cc6-4940-947d-0a1ddbf86dde,,,,,,,,,,https://www.facebook.com/carl4congress/,https://www.instagram.com/carl4congress/,https://twitter.com/Carl4congressms,https://www.youtube.com/@carlboyanton1232/featured,https://www.tiktok.com/@carlboyanton,,,,,,,,https://rumble.com/user/Carl4Congress,Not Competitive,0.0,,,Republican Party
Carl J. Marlinga,H2MI10176,0.0,Carl,Marlinga,,Michigan,MI,10.0,Non-Incumbent,country,Michigan's 10th congressional district,U.S. Representative,f2e98e23-8fde-5d2f-993c-2c90eb45bcc7,Democratic Party,,,,8e8639e5-4ca9-413e-a264-e56adcf3993d,,,,,,,,,,https://www.facebook.com/marlingaforcongress/,https://www.instagram.com/marlingaforcongress/,https://x.com/MarlingaForMI10,,https://www.tiktok.com/@marlinga4congress?lang=en,,,,,,,,,Lean Republican,1.0,,,Democratic Party
Carlos A. Gimenez,H0FL26036,0.0,Carlos,Gimenez,"GIMENEZ, Carlos A.",Florida,FL,28.0,Incumbent,country,Florida's 28th congressional district,U.S. Representative,a8d85f20-06da-5229-88a4-deed63ab627b,Republican Party,1/17/54,Hispanic or Latino,Male,a622bffb-d575-43d7-b5e2-c6d8c88a4ce4,22118.0,43.0,G000593,0.331,https://www.facebook.com/RepCarlosGimenez/,https://www.instagram.com/repcarlosfl/,https://twitter.com/RepCarlos,https://www.youtube.com/channel/UCgeAk_BghvW-tsyajohlzEQ,,,,,,,,,,,,,,,Not Competitive,0.0,,,Republican Party
Carmela Conroy,H4WA05168,0.0,Carmela,Conroy,,Washington,WA,5.0,Non-Incumbent,country,Washington's 5th congressional district,U.S. Representative,2188472f-cabf-5a04-9e22-ffd921d5e88f,Democratic Party,,,,bb22cc4c-65e1-4bb2-b6dc-499ae85899fa,,,,,,,,,,https://www.facebook.com/CarmelaConroyforCongress/,,https://x.com/CarmelaConroy,https://www.youtube.com/@Conroy-4-Congress,,,,,,,,,,Not Competitive,0.0,,,Democratic Party
Carmen Bucco,H4NJ10135,0.0,Carmen,Bucco,,New Jersey,NJ,10.0,Non-Incumbent,country,New Jersey's 10th congressional district,U.S. Representative,82e5f012-265a-5d77-a508-198f3ba743b4,Republican Party,,,,e4aeb938-18d8-49eb-86d5-21f179ab8891,,,,,,,,,,https://www.facebook.com/Buccofornewjersey/,https://www.instagram.com/buccofornewjersey/,https://twitter.com/BuccoCarmen,,https://www.tiktok.com/@bcouture71,,,,,,,,,Not Competitive,0.0,,,Republican Party
Carmen Goers,H4WA08139,0.0,Carmen,Goers,,Washington,WA,8.0,Non-Incumbent,country,Washington's 8th congressional district,U.S. Representative,a2b57e89-6239-50b1-acac-19f88b1889ea,Republican Party,,,,7670c71d-e501-4357-8294-7d5802f8b1ee,,,,,,,,,,https://www.facebook.com/CarmenGoers/,https://www.instagram.com/carmenfor8th/,https://x.com/carmengoers,https://www.youtube.com/channel/UClh9lze25wyC0GqnKTxiv5Q,,,,,,,,,,Not Competitive,0.0,,,Republican Party
Carol Blood,H4NE01189,0.0,Carol,Blood,,Nebraska,NE,1.0,Non-Incumbent,country,Nebraska's 1st congressional district,U.S. Representative,860d4597-f835-5c19-830d-cbbb76f2b0b5,Democratic Party,3/5/61,,,94a177c8-3473-4772-812b-e4b6f5b086e3,,,,,https://www.facebook.com/senatorcarolblood,https://www.instagram.com/senatorblood/,,,,https://www.facebook.com/CarolBloodforCongress,https://www.instagram.com/carolbloodforcongress/,https://x.com/senatorblood,https://www.youtube.com/@senatorcarolbloodisrunning6219,,,,,,,,,,Not Competitive,0.0,,,Democratic Party
Carol Miller,H8WV03097,0.0,Carol,Miller,"MILLER, Carol",West Virginia,WV,1.0,Incumbent,country,West Virginia's 1st congressional district,U.S. Representative,216ba562-10d5-59f2-9bcd-07dc99eab117,Republican Party,11/4/50,White,Female,6e25ba7a-fcf8-4b30-af84-945c3ebc2132,21946.0,56.0,M001205,0.524,https://www.facebook.com/RepCarolMiller,https://www.instagram.com/repcarolmiller/,https://twitter.com/RepCarolMiller,https://www.youtube.com/@repcarolmiller/,,https://www.facebook.com/carolforcongress,,https://twitter.com/CarolMillerWV,https://www.youtube.com/channel/UCxh-Xyq8dLtojvpCNLcUW0A,,,,,,,,,,Not Competitive,0.0,,,Republican Party
Carol Murphy,H4NJ03205,0.0,Carol,Murphy,,New Jersey,NJ,3.0,Non-Incumbent,country,New Jersey's 3rd congressional district,U.S. Representative,b0623a57-bfca-5d29-808e-d2d06488a5d6,Democratic Party,,,,2721cd6d-d256-4aae-96f5-16f683807071,,,,,,,,,,https://www.facebook.com/carolmurphyforcongress/,,https://twitter.com/carolmurphyNJ,https://www.youtube.com/@CarolMurphy4Congress,,,,,,,,,,Not Competitive,0.0,,,Democratic Party
Caroleene Dobson,H4AL02220,0.0,Caroleene,Dobson,,Alabama,AL,2.0,Non-Incumbent,country,Alabama's 2nd congressional district,U.S. Representative,a01070f0-0dbd-5116-a16a-3bafb574d252,Republican Party,,,,50f222f2-9223-45b4-b594-605268000d5f,,,,,,,,,,https://www.facebook.com/profile.php?id=61553639785907,https://www.instagram.com/dobsonforcongress/,https://twitter.com/dobsonforal,https://www.youtube.com/@CaroleeneDobsonforCongress,,,https://truthsocial.com/@DobsonforCongress,,,,,,,Likely Democrat,1.0,,,Republican Party
Caroline Kane,H4TX07099,0.0,Caroline,Kane,,Texas,TX,7.0,Non-Incumbent,country,Texas's 7th congressional district,U.S. Representative,7f367451-d25f-5797-840c-e27fe9c9e627,Republican Party,,,,42d03607-1499-441c-bde3-f6b8d10260f5,,,,,,,,,,https://www.facebook.com/CarolineKaneForCongress,,https://twitter.com/CarolineKaneTX,https://www.youtube.com/@carolinekaneforcongress,,,https://truthsocial.com/@CarolineKane,,,,,,,Not Competitive,0.0,,,Republican Party
Carolyn B. Bryant,H4TX07131,0.0,Carolyn,Bryant,,Texas,TX,7.0,Non-Incumbent,country,Texas's 7th congressional district,U.S. Representative,75f9c999-4f3d-5910-99a1-e2ae924deb56,Republican Party,,,,00a802f2-c7cb-4725-8526-8840be7ee0cd,,,,,,,,,,,https://www.instagram.com/carolynforcongress2024/,https://x.com/CarolynB2024,https://www.youtube.com/@carolynb2024,,,,,,,,,,Not Competitive,0.0,,,Republican Party
Carolyn Rush,H2NJ02219,0.0,Carolyn,Rush,,New Jersey,NJ,2.0,Non-Incumbent,country,New Jersey's 2nd congressional district,U.S. Representative,cf73072f-e5ad-5a80-b54a-b222b8cf4cb8,Democratic Party,,,,f02afa3d-804b-4ef2-95f3-6b13925553d8,,,,,,,,,,https://www.facebook.com/CarolynRush4Congress/,https://www.instagram.com/carolynforcongress/,https://twitter.com/carolynrush31,https://www.youtube.com/c/CarolynRushforCongress,https://www.tiktok.com/@rush4njcd2?lang=en,,,,,,,,,Not Competitive,0.0,,,Democratic Party
Case Lawrence,H4UT03278,0.0,Case,Lawrence,,Utah,UT,3.0,Non-Incumbent,country,Utah's 3rd congressional district,U.S. Representative,d8ab1ccd-2954-52f2-b453-81b4d2b64364,Republican Party,,,,bfcc0575-bb0e-43d8-8e6a-37ab6f1df0b2,,,,,,,,,,https://www.facebook.com/caseforcongress/,https://www.instagram.com/caseforcongress/,https://x.com/caselawrence,https://www.youtube.com/@Caseforcongress,,,,,,,,,,Not Competitive,0.0,,,Republican Party
Catherine Templeton,H4SC01339,0.0,Catherine,Templeton,,South Carolina,SC,1.0,Non-Incumbent,country,South Carolina's 1st congressional district,U.S. Representative,bc9ba973-60c0-5712-abaa-3672b8fead4d,Republican Party,,,,b8e22244-75d0-412f-9b30-6457a76fb849,,,,,,,,,,https://www.facebook.com/templetonforcongress,https://www.instagram.com/catherine_templeton/,https://x.com/templetoncath,https://www.youtube.com/channel/UChVnJaMTXFS6BuzjFfMtNdQ,,,,,,,,,,Not Competitive,0.0,,,Republican Party
Cathy McMorris Rodgers,H4WA05077,0.0,Cathy,Rodgers,"McMORRIS RODGERS, Cathy",Washington,WA,5.0,Incumbent; Retired,country,Washington's 5th congressional district,U.S. Representative,ccf5c99d-b2ea-5690-86eb-a8c96662015d,Republican Party,5/22/69,White,Female,9ee891f3-29fb-46f0-8c99-502587796a10,20535.0,73.0,M001159,0.436,https://www.facebook.com/mcmorrisrodgers/,https://www.instagram.com/cathymcmorris/,https://twitter.com/cathymcmorris,https://www.youtube.com/@McMorrisRodgers,,https://facebook.com/cathyforcongress,https://instagram.com/cmrforcongress,https://twitter.com/teamcmr,https://www.youtube.com/@CathyforCongress,,,,,,,,,,Not Competitive,0.0,,,Republican Party
"Ceci ""Cecilia"" Truman",H4CA25214,0.0,Ceci,Truman,,California,CA,25.0,Non-Incumbent,country,California's 25th congressional district,U.S. Representative,62b5fdad-8577-51b9-93ff-6502404eac56,Republican Party,,,,086994e5-2383-4e77-96f0-7dc806b0ca90,,,,,,,,,,https://www.facebook.com/CeciTrumanForCongress,https://www.instagram.com/ceci.truman.for.congress/,https://twitter.com/CeciTruman,https://www.youtube.com/@CeciTrumanForCongress,,,,,https://t.me/cecitruman,,,,https://rumble.com/user/CeciTruman,Not Competitive,0.0,,,Republican Party
Celeste Maloy,H4UT02296,0.0,Celeste,Maloy,"MALOY, Celeste",Utah,UT,2.0,Incumbent; Special Election,country,Utah's 2nd congressional district,U.S. Representative,f22f3f98-72cd-5549-a73b-fcc3a6d194d8,Republican Party,5/22/81,White,Female,40aad60d-a8ed-483a-8b72-a04d65b782be,22376.0,67.0,M001228,0.424,https://www.facebook.com/RepCelesteMaloy/,https://www.instagram.com/RepCelesteMaloy,https://x.com/RepMaloyUtah,https://www.youtube.com/@RepCelesteMaloy,,https://www.facebook.com/CelestemaloyUT,https://www.instagram.com/celestemaloyut/,https://x.com/CelesteMaloyUT,https://www.youtube.com/@CelesteForUtah,,,,,,,,,,Not Competitive,0.0,,,Republican Party
Charity Barry,H2WI02173,0.0,Charity,Barry,,Wisconsin,WI,2.0,Non-Incumbent,country,Wisconsin's 2nd congressional district,U.S. Representative,b359c3f8-ab16-5dbd-8c9c-9f3155c977d2,Republican Party,,,,7a3f9a94-5973-4b16-b476-2172ebc2f186,,,,,,,,,,https://www.facebook.com/BarryCongress,https://www.instagram.com/barryforcongress/,https://x.com/BarryCongress,https://www.youtube.com/@charitybarryforcongress7444,,,,,,,,,,Not Competitive,0.0,,,Republican Party
Charlene ConcepciÃ³n Nijmeh,H4CA18136,0.0,Charlene,Nijmeh,,California,CA,18.0,Non-Incumbent,country,California's 18th congressional district,U.S. Representative,31704ee3-8d26-5914-82c7-9e4928712ce6,Democratic Party,,,,ec9dc557-df1f-4228-aebb-9b9f41c79c24,,,,,,,,,,https://www.facebook.com/charleneforcongress,https://www.instagram.com/charleneforcongress/,https://twitter.com/Nijmeh4Congress,https://www.youtube.com/@CharleneForCongress,https://www.tiktok.com/@charlenenijmeh528,,,,,,,,,Not Competitive,0.0,,,Democratic Party
Charles Bookwalter,H2IN04168,0.0,Charles,Bookwalter,,Indiana,IN,4.0,Non-Incumbent,country,Indiana's 4th congressional district,U.S. Representative,5c48f8bd-7257-5328-8499-bcca2d9de7df,Republican Party,,,,01a4d074-2cbc-42ab-b11f-694e349ee863,,,,,,,,,,https://www.facebook.com/BookwalterforCongress,,https://x.com/TCBookwalter,https://www.youtube.com/@CharlesBookwalterforCongress,,,,,,,,,,Not Competitive,0.0,,,Republican Party
Charles Eller,H4NC10138,0.0,Charles,Eller,,North Carolina,NC,10.0,Non-Incumbent,country,North Carolina's 10th congressional district,U.S. Representative,8d875486-c126-53fc-9ff6-a9c49c8dcc63,Republican Party,,,,26a88f0d-9397-4745-9de8-777c5bde0e76,,,,,,,,,,https://www.facebook.com/charlesellerforcongress,,https://twitter.com/EllerForNC,https://www.youtube.com/@CharlesEllerforCongress,,,,,,,,,,Not Competitive,0.0,,,Republican Party
Charles Frangie,H4MI11139,0.0,Charles,Frangie,,Michigan,MI,11.0,Non-Incumbent,country,Michigan's 11th congressional district,U.S. Representative,b7b21151-1ddc-5206-a581-3d98c32aece9,Republican Party,,,,86e261a9-7207-4e2f-b9b8-0b46a6122fd1,,,,,,,,,,https://www.facebook.com/charles.frangie,https://www.instagram.com/charlesfrangie/,https://x.com/CharlesFra38680,,,,,,,,,,,Not Competitive,0.0,,,Republican Party
Charles M. Hughes,H0IL03133,0.0,Charles,Hughes,,Illinois,IL,6.0,Non-Incumbent,country,Illinois's 6th congressional district,U.S. Representative,9959d75d-0724-5a50-bd26-320931e7a32a,Democratic Party,,,,8dcce93a-b300-46aa-bffc-dad16550863f,,,,,,,,,,,,,,,,,,,,,,,Not Competitive,0.0,,,Democratic Party
Charles Tassell,H4OH02180,0.0,Charles,Tassell,,Ohio,OH,2.0,Non-Incumbent,country,Ohio's 2nd congressional district,U.S. Representative,ae696a09-27ef-5d53-995f-7f7fe8d7fa4f,Republican Party,,,,d663a470-ff90-4191-a9ef-af3cbba2e4de,,,,,,,,,,https://www.facebook.com/FriendsofCharlesTassell/,,https://x.com/CharlesTassell,,,,,,,,,,,Not Competitive,0.0,,,Republican Party
Charlie Kim,H4IL11245,0.0,Charlie,Kim,,Illinois,IL,14.0,Non-Incumbent,country,Illinois's 14th congressional district,U.S. Representative,0f36adb0-a26c-5d7c-9846-053dea8e827d,Republican Party,,,,cd8fbc71-fd2c-4cb0-a23e-765066a83f61,,,,,,,,,,https://www.facebook.com/CharlieKiminCongress/,,https://twitter.com/CharlieKimIL,,,,,,,,,,,Not Competitive,0.0,,,Republican Party
Charlotte Bergmann,H0TN09061,0.0,Charlotte,Bergmann,,Tennessee,TN,9.0,Non-Incumbent,country,Tennessee's 9th congressional district,U.S. Representative,59f48f4e-5492-5925-80d7-158a80d3617f,Republican Party,,,,ba04be47-f7e4-4f40-9eca-22e4b64dd584,,,,,,,,,,https://www.facebook.com/charlotte.bergmann.9?%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20ref=bookmarks,https://www.instagram.com/electbergmann,https://x.com/electbergmann,https://www.youtube.com/@charlottebergmann4940,,,,,,,,,,Not Competitive,0.0,,,Republican Party
